raw_column,column,dtype_raw,dtype_clean,n_missing,pct_missing,role,unit,note
72 kDa pro-MMP-2,72_kda_pro_mmp_2,float64,float64,89,58.55,biomarker,,
92 kDa               pro-MMP-9,92_kda_pro_mmp_9,float64,float64,82,53.95,biomarker,,
ACE-I,ace_i,object,object,65,42.76,clinical,,
AlbumIny [g/L],albuminy_g_l,float64,float64,87,57.24,clinical,,
ARB,arb,object,object,80,52.63,clinical,,
ASA,asa,object,object,65,42.76,exclude,,
BB,bb,object,object,66,43.42,clinical,,
BMI,bmi,float64,float64,7,4.61,clinical,,
BMS/DES,bms_des,object,object,113,74.34,clinical,,
Brilique,brilique,object,object,78,51.32,exclude,,
 (CAD),cad,object,object,66,43.42,clinical,,
CAD - ile lat?,cad_ile_lat,object,object,122,80.26,exclude,,
CCS,ccs,object,object,128,84.21,clinical,,
Cholesterol całkowity (TC),cholesterol_calkowity_tc,float64,float64,2,1.32,biomarker,,
CRP>5 zapalenie,crp_5_zapalenie,object,object,65,42.76,clinical,,
CRT-D device,crt_d_device,object,object,65,42.76,clinical,,
Cukrzyca  (DM),cukrzyca_dm,object,object,65,42.76,clinical,,
Czy pali?,czy_pali,object,object,1,0.66,clinical,,
Data CABG,data_cabg,object,object,147,96.71,exclude,,
Data obecnego PCI,data_obecnego_pci,object,object,116,76.32,exclude,,
Data obecnego zawału,data_obecnego_zawalu,object,object,104,68.42,exclude,,
Data pobrania,data_pobrania,datetime64[ns],datetime64[ns],66,43.42,exclude,,
Data przeszłych zawałów,data_przeszlych_zawalow,object,object,130,85.53,exclude,,
Data urodzenia,data_urodzenia,datetime64[ns],datetime64[ns],0,0.0,exclude,,
Data zapaenia żył,data_zapaenia_zyl,object,object,149,98.03,exclude,,
Data zaplenie serca,data_zaplenie_serca,object,object,148,97.37,exclude,,
Data zatorowości płuc,data_zatorowosci_pluc,object,object,149,98.03,exclude,,
Daty przeszłych PCI,daty_przeszlych_pci,object,object,138,90.79,exclude,,
DM - ile lat?,dm_ile_lat,object,object,135,88.82,exclude,,
DM -leczenie,dm_leczenie,object,object,126,82.89,clinical,,
EMMPRIN,emmprin,float64,float64,73,48.03,biomarker,,
Frakcja wyrzutowa lewej komory serca (LVEF),frakcja_wyrzutowa_lewej_komory_serca_lvef,float64,float64,66,43.42,exclude,,
GFR MIn.,gfr_min,float64,float64,65,42.76,clinical,,
Glukoza max. Mg/dl,glukoza_max_mg_dl,float64,float64,65,42.76,exclude,,
Hb przyjęcie,hb_przyjecie,float64,float64,65,42.76,clinical,,
Hb wypis,hb_wypis,float64,float64,67,44.08,exclude,,
